actionType,start_time,end_time
STILL,2019-05-16 00:00:00.000,2019-05-16 00:50:15.473
WALKING,2019-05-16 00:50:15.473,2019-05-16 00:51:32.185
STILL,2019-05-16 00:51:32.185,2019-05-16 00:53:54.205
IN_VEHICLE,2019-05-16 00:53:54.205,2019-05-16 00:59:04.194
IN_VEHICLE,2019-05-16 00:59:04.194,2019-05-16 01:01:04.993
IN_VEHICLE,2019-05-16 01:01:04.993,2019-05-16 01:03:15.456
WALKING,2019-05-16 01:03:15.456,2019-05-16 01:03:50.270
STILL,2019-05-16 01:03:50.270,2019-05-16 05:02:03.821
WALKING,2019-05-16 05:02:03.821,2019-05-16 05:05:58.573
STILL,2019-05-16 05:05:58.573,2019-05-16 05:07:14.998
WALKING,2019-05-16 05:07:14.998,2019-05-16 05:09:43.084
STILL,2019-05-16 05:09:43.084,2019-05-16 05:41:24.209
WALKING,2019-05-16 05:41:24.209,2019-05-16 05:42:49.430
STILL,2019-05-16 05:42:49.430,2019-05-16 08:49:07.639
WALKING,2019-05-16 08:49:07.639,2019-05-16 08:50:01.076
STILL,2019-05-16 08:50:01.076,2019-05-16 08:58:35.826
IN_VEHICLE,2019-05-16 08:58:35.826,2019-05-16 10:48:08.456
WALKING,2019-05-16 10:48:08.456,2019-05-16 10:52:53.868
STILL,2019-05-16 10:52:53.868,2019-05-16 11:27:13.974
WALKING,2019-05-16 11:27:13.974,2019-05-16 11:29:42.143
IN_VEHICLE,2019-05-16 11:29:42.143,2019-05-16 11:42:31.331
WALKING,2019-05-16 11:42:31.331,2019-05-16 11:43:51.273
STILL,2019-05-16 11:43:51.273,2019-05-16 11:45:07.575
IN_VEHICLE,2019-05-16 11:45:07.575,2019-05-16 11:56:36.626
WALKING,2019-05-16 11:56:36.626,2019-05-16 11:59:24.516
STILL,2019-05-16 11:59:24.516,2019-05-16 12:42:46.939
WALKING,2019-05-16 12:42:46.939,2019-05-16 12:44:30.494
STILL,2019-05-16 12:44:30.494,2019-05-16 14:34:39.689
WALKING,2019-05-16 14:34:39.689,2019-05-16 14:36:12.563
STILL,2019-05-16 14:36:12.563,2019-05-16 14:38:17.205
WALKING,2019-05-16 14:38:17.205,2019-05-16 14:40:50.054
STILL,2019-05-16 14:40:50.054,2019-05-16 14:42:36.914
WALKING,2019-05-16 14:42:36.914,2019-05-16 14:43:59.489
STILL,2019-05-16 14:43:59.489,2019-05-16 14:45:00.871
WALKING,2019-05-16 14:45:00.871,2019-05-16 14:47:08.490
STILL,2019-05-16 14:47:08.490,2019-05-16 14:49:44.639
IN_VEHICLE,2019-05-16 14:49:44.639,2019-05-16 14:58:35.975
WALKING,2019-05-16 14:58:35.975,2019-05-16 14:59:50.553
STILL,2019-05-16 14:59:50.553,2019-05-16 15:01:23.262
IN_VEHICLE,2019-05-16 15:01:23.262,2019-05-16 15:07:02.951
WALKING,2019-05-16 15:07:02.951,2019-05-16 15:10:56.590
STILL,2019-05-16 15:10:56.590,2019-05-16 15:11:53.668
WALKING,2019-05-16 15:11:53.668,2019-05-16 15:12:51.554
STILL,2019-05-16 15:12:51.554,2019-05-16 15:16:53.457
WALKING,2019-05-16 15:16:53.457,2019-05-16 15:22:35.065
STILL,2019-05-16 15:22:35.065,2019-05-16 22:47:42.854
WALKING,2019-05-16 22:47:42.854,2019-05-16 22:48:42.854
STILL,2019-05-16 22:48:42.854,2019-05-16 23:02:24.041
IN_VEHICLE,2019-05-16 23:02:24.041,2019-05-17 00:00:00.000
IN_VEHICLE,2019-05-17 00:00:00.000,2019-05-17 00:30:07.890
WALKING,2019-05-17 00:30:07.890,2019-05-17 00:31:16.139
STILL,2019-05-17 00:31:16.139,2019-05-17 00:36:44.642
WALKING,2019-05-17 00:36:44.642,2019-05-17 00:37:24.124
STILL,2019-05-17 00:37:24.124,2019-05-17 00:49:16.030
WALKING,2019-05-17 00:49:16.030,2019-05-17 00:51:10.001
STILL,2019-05-17 00:51:10.001,2019-05-17 02:49:14.474
WALKING,2019-05-17 02:49:14.474,2019-05-17 02:51:22.004
STILL,2019-05-17 02:51:22.004,2019-05-17 03:04:04.017
WALKING,2019-05-17 03:04:04.017,2019-05-17 03:04:45.134
STILL,2019-05-17 03:04:45.134,2019-05-17 03:37:54.698
WALKING,2019-05-17 03:37:54.698,2019-05-17 03:39:19.004
STILL,2019-05-17 03:39:19.004,2019-05-17 03:49:17.016
WALKING,2019-05-17 03:49:17.016,2019-05-17 03:52:07.691
STILL,2019-05-17 03:52:07.691,2019-05-17 04:03:32.666
WALKING,2019-05-17 04:03:32.666,2019-05-17 04:06:46.826
STILL,2019-05-17 04:06:46.826,2019-05-17 05:20:09.503
WALKING,2019-05-17 05:20:09.503,2019-05-17 05:22:07.273
STILL,2019-05-17 05:22:07.273,2019-05-17 07:45:44.683
WALKING,2019-05-17 07:45:44.683,2019-05-17 07:47:58.092
STILL,2019-05-17 07:47:58.092,2019-05-17 07:52:07.587
IN_VEHICLE,2019-05-17 07:52:07.587,2019-05-17 08:20:20.596
WALKING,2019-05-17 08:20:20.596,2019-05-17 08:22:13.740
STILL,2019-05-17 08:22:13.740,2019-05-17 10:52:07.466
WALKING,2019-05-17 10:52:07.466,2019-05-17 10:55:02.743
STILL,2019-05-17 10:55:02.743,2019-05-17 11:16:59.990
ON_BICYCLE,2019-05-17 11:16:59.990,2019-05-17 11:17:29.131
WALKING,2019-05-17 11:17:29.131,2019-05-17 11:19:52.133
IN_VEHICLE,2019-05-17 11:19:52.133,2019-05-17 11:51:43.120
WALKING,2019-05-17 11:51:43.120,2019-05-17 11:57:03.413
STILL,2019-05-17 11:57:03.413,2019-05-17 12:02:34.918
WALKING,2019-05-17 12:02:34.918,2019-05-17 12:07:07.401
STILL,2019-05-17 12:07:07.401,2019-05-17 12:07:52.857
IN_VEHICLE,2019-05-17 12:07:52.857,2019-05-17 12:40:37.741
WALKING,2019-05-17 12:40:37.741,2019-05-17 12:49:10.100
STILL,2019-05-17 12:49:10.100,2019-05-17 12:50:47.566
WALKING,2019-05-17 12:50:47.566,2019-05-17 13:00:58.530
STILL,2019-05-17 13:00:58.530,2019-05-17 13:48:41.365
WALKING,2019-05-17 13:48:41.365,2019-05-17 13:53:15.331
STILL,2019-05-17 13:53:15.331,2019-05-18 00:00:00.000
STILL,2019-05-18 00:00:00.000,2019-05-18 01:36:29.792
WALKING,2019-05-18 01:36:29.792,2019-05-18 01:45:08.111
IN_VEHICLE,2019-05-18 01:45:08.111,2019-05-18 02:05:01.735
WALKING,2019-05-18 02:05:01.735,2019-05-18 02:07:20.581
STILL,2019-05-18 02:07:20.581,2019-05-18 02:12:13.203
IN_VEHICLE,2019-05-18 02:12:13.203,2019-05-18 02:41:46.707
WALKING,2019-05-18 02:41:46.707,2019-05-18 02:44:01.290
IN_VEHICLE,2019-05-18 02:44:01.290,2019-05-18 02:59:58.770
WALKING,2019-05-18 02:59:58.770,2019-05-18 03:01:30.789
STILL,2019-05-18 03:01:30.789,2019-05-18 03:24:33.147
WALKING,2019-05-18 03:24:33.147,2019-05-18 03:29:54.813
STILL,2019-05-18 03:29:54.813,2019-05-18 04:00:02.886
WALKING,2019-05-18 04:00:02.886,2019-05-18 04:02:31.793
STILL,2019-05-18 04:02:31.793,2019-05-18 04:07:10.619
WALKING,2019-05-18 04:07:10.619,2019-05-18 04:10:31.368
STILL,2019-05-18 04:10:31.368,2019-05-18 04:14:40.744
IN_VEHICLE,2019-05-18 04:14:40.744,2019-05-18 04:44:35.627
ON_BICYCLE,2019-05-18 04:44:35.627,2019-05-18 04:45:50.556
