actionType,name,packageName,start_time,end_time
ON_BICYCLE,카카오톡,com.kakao.talk,2019-05-16 00:03:50.778,2019-05-16 00:03:50.780
ON_BICYCLE,카카오톡,com.kakao.talk,2019-05-16 00:03:50.875,2019-05-16 00:03:50.876
ON_BICYCLE,카카오톡,com.kakao.talk,2019-05-16 00:03:50.925,2019-05-16 00:03:50.926
ON_BICYCLE,카카오톡,com.kakao.talk,2019-05-16 00:03:51.100,2019-05-16 00:03:53.043
ON_BICYCLE,카카오톡,com.kakao.talk,2019-05-16 00:03:53.060,2019-05-16 00:03:59.189
ON_BICYCLE,카카오톡,com.kakao.talk,2019-05-16 00:03:59.214,2019-05-16 00:03:59.255
ON_BICYCLE,카카오톡,com.kakao.talk,2019-05-16 00:03:59.311,2019-05-16 00:04:01.205
WALKING,카카오톡,com.kakao.talk,2019-05-16 00:04:01.205,2019-05-16 00:04:10.914
WALKING,카카오톡,com.kakao.talk,2019-05-16 00:05:46.323,2019-05-16 00:05:46.384
WALKING,카카오톡,com.kakao.talk,2019-05-16 00:05:46.610,2019-05-16 00:05:48.017
WALKING,카카오톡,com.kakao.talk,2019-05-16 00:05:48.050,2019-05-16 00:05:51.661
WALKING,카카오톡,com.kakao.talk,2019-05-16 00:05:51.674,2019-05-16 00:06:14.419
WALKING,카카오톡,com.kakao.talk,2019-05-16 00:06:14.440,2019-05-16 00:06:18.278
WALKING,카카오톡,com.kakao.talk,2019-05-16 00:06:18.291,2019-05-16 00:06:26.004
WALKING,카카오톡,com.kakao.talk,2019-05-16 00:06:26.034,2019-05-16 00:06:27.640
WALKING,카카오톡,com.kakao.talk,2019-05-16 00:06:27.653,2019-05-16 00:06:40.746
STILL,카카오톡,com.kakao.talk,2019-05-16 00:06:40.746,2019-05-16 00:07:44.470
STILL,카카오톡,com.kakao.talk,2019-05-16 00:07:44.511,2019-05-16 00:07:47.163
STILL,카카오톡,com.kakao.talk,2019-05-16 00:07:47.176,2019-05-16 00:07:52.160
STILL,카카오톡,com.kakao.talk,2019-05-16 00:07:52.170,2019-05-16 00:07:54.147
STILL,카카오톡,com.kakao.talk,2019-05-16 00:07:54.168,2019-05-16 00:08:11.048
STILL,카카오톡,com.kakao.talk,2019-05-16 00:08:11.068,2019-05-16 00:08:15.171
STILL,카카오톡,com.kakao.talk,2019-05-16 00:08:15.186,2019-05-16 00:08:27.793
STILL,카카오톡,com.kakao.talk,2019-05-16 00:08:27.814,2019-05-16 00:08:29.943
STILL,카카오톡,com.kakao.talk,2019-05-16 00:08:29.959,2019-05-16 00:08:30.925
STILL,카카오톡,com.kakao.talk,2019-05-16 00:08:30.946,2019-05-16 00:08:35.338
STILL,카카오톡,com.kakao.talk,2019-05-16 00:08:35.351,2019-05-16 00:08:36.193
STILL,카카오톡,com.kakao.talk,2019-05-16 00:08:36.205,2019-05-16 00:08:37.798
STILL,카카오톡,com.kakao.talk,2019-05-16 00:08:37.808,2019-05-16 00:08:39.792
STILL,카카오톡,com.kakao.talk,2019-05-16 00:08:39.992,2019-05-16 00:08:40.191
STILL,카카오톡,com.kakao.talk,2019-05-16 00:08:40.200,2019-05-16 00:08:42.617
STILL,카카오톡,com.kakao.talk,2019-05-16 00:08:42.629,2019-05-16 00:08:43.578
STILL,카카오톡,com.kakao.talk,2019-05-16 00:08:43.588,2019-05-16 00:08:44.535
STILL,카카오톡,com.kakao.talk,2019-05-16 00:08:44.560,2019-05-16 00:08:45.698
STILL,카카오톡,com.kakao.talk,2019-05-16 00:08:45.708,2019-05-16 00:08:48.820
STILL,카카오톡,com.kakao.talk,2019-05-16 00:08:48.846,2019-05-16 00:08:50.602
STILL,카카오톡,com.kakao.talk,2019-05-16 00:08:50.625,2019-05-16 00:08:51.671
STILL,카카오톡,com.kakao.talk,2019-05-16 00:08:51.691,2019-05-16 00:08:58.088
STILL,Samsung Experience 홈,com.sec.android.app.launcher,2019-05-16 00:08:58.103,2019-05-16 00:09:25.213
STILL,Messenger,com.facebook.orca,2019-05-16 00:09:25.256,2019-05-16 00:10:11.944
STILL,Samsung Experience 홈,com.sec.android.app.launcher,2019-05-16 00:10:11.970,2019-05-16 00:10:13.690
STILL,Facebook,com.facebook.katana,2019-05-16 00:10:13.721,2019-05-16 00:10:31.678
STILL,Facebook,com.facebook.katana,2019-05-16 00:10:31.695,2019-05-16 00:10:38.047
STILL,Facebook,com.facebook.katana,2019-05-16 00:10:38.081,2019-05-16 00:12:41.608
STILL,Facebook,com.facebook.katana,2019-05-16 00:12:41.633,2019-05-16 00:12:46.945
STILL,Facebook,com.facebook.katana,2019-05-16 00:12:46.982,2019-05-16 00:12:49.428
STILL,Facebook,com.facebook.katana,2019-05-16 00:12:49.443,2019-05-16 00:12:52.799
STILL,Facebook,com.facebook.katana,2019-05-16 00:12:52.826,2019-05-16 00:13:07.341
STILL,Samsung Experience 홈,com.sec.android.app.launcher,2019-05-16 00:13:07.370,2019-05-16 00:13:08.667
STILL,삼성 인터넷,com.sec.android.app.sbrowser,2019-05-16 00:13:08.702,2019-05-16 00:13:09.512
STILL,삼성 인터넷,com.sec.android.app.sbrowser,2019-05-16 00:13:09.534,2019-05-16 00:13:11.018
STILL,삼성 인터넷,com.sec.android.app.sbrowser,2019-05-16 00:13:11.029,2019-05-16 00:14:07.641
STILL,삼성 인터넷,com.sec.android.app.sbrowser,2019-05-16 00:14:51.294,2019-05-16 00:15:00.376
WALKING,삼성 인터넷,com.sec.android.app.sbrowser,2019-05-16 00:15:00.376,2019-05-16 00:15:08.683
STILL,삼성 인터넷,com.sec.android.app.sbrowser,2019-05-16 00:16:18.609,2019-05-16 00:17:02.758
STILL,Samsung Experience 홈,com.sec.android.app.launcher,2019-05-16 00:17:02.775,2019-05-16 00:17:03.415
STILL,시스템 UI,com.android.systemui,2019-05-16 00:17:03.429,2019-05-16 00:17:05.093
STILL,Samsung Experience 홈,com.sec.android.app.launcher,2019-05-16 00:17:05.101,2019-05-16 00:17:55.875
STILL,Facebook,com.facebook.katana,2019-05-16 00:17:55.906,2019-05-16 00:18:02.570
STILL,Facebook,com.facebook.katana,2019-05-16 00:18:02.588,2019-05-16 00:18:18.738
STILL,Facebook,com.facebook.katana,2019-05-16 00:18:18.768,2019-05-16 00:18:33.082
STILL,Samsung Experience 홈,com.sec.android.app.launcher,2019-05-16 00:18:33.096,2019-05-16 00:18:34.498
STILL,카카오톡,com.kakao.talk,2019-05-16 00:18:34.525,2019-05-16 00:18:34.725
STILL,카카오톡,com.kakao.talk,2019-05-16 00:18:34.735,2019-05-16 00:18:34.749
STILL,카카오톡,com.kakao.talk,2019-05-16 00:18:34.768,2019-05-16 00:18:34.877
STILL,카카오톡,com.kakao.talk,2019-05-16 00:18:35.055,2019-05-16 00:18:36.203
STILL,카카오톡,com.kakao.talk,2019-05-16 00:18:36.225,2019-05-16 00:18:45.484
STILL,카카오톡,com.kakao.talk,2019-05-16 00:18:45.496,2019-05-16 00:18:46.603
STILL,Samsung Experience 홈,com.sec.android.app.launcher,2019-05-16 00:18:46.619,2019-05-16 00:18:47.154
STILL,삼성 인터넷,com.sec.android.app.sbrowser,2019-05-16 00:18:47.194,2019-05-16 00:21:39.725
STILL,카카오톡,com.kakao.talk,2019-05-16 00:21:39.807,2019-05-16 00:21:39.842
