timestamp,type
1557532802142,SCREEN_ON
1557532805740,POWER_DISCONNECTED
1557532810542,UNLOCK
1557532829767,SCREEN_OFF
1557536294200,SCREEN_ON
1557536304990,SCREEN_OFF
1557538483185,SCREEN_ON
1557538494231,SCREEN_OFF
1557541101580,SCREEN_ON
1557541101680,UNLOCK
1557541769565,SCREEN_OFF
1557541882537,SCREEN_ON
1557541885920,UNLOCK
1557542222259,SCREEN_OFF
1557542253364,UNLOCK
1557542253714,SCREEN_ON
1557542292058,SCREEN_OFF
1557542294132,SCREEN_ON
1557542331249,SCREEN_OFF
1557542360664,SCREEN_ON
1557542371790,SCREEN_OFF
1557542372657,UNLOCK
1557542372881,SCREEN_ON
1557542403753,SCREEN_OFF
1557544509881,UNLOCK
1557544510153,SCREEN_ON
1557544617399,SCREEN_OFF
1557545292268,UNLOCK
1557545292370,SCREEN_ON
1557545329064,SCREEN_OFF
1557545330525,UNLOCK
1557545330602,SCREEN_ON
1557545334808,SCREEN_OFF
1557545450548,SCREEN_ON
1557545466014,SCREEN_OFF
1557545929678,UNLOCK
1557545930094,SCREEN_ON
1557546021100,SCREEN_OFF
1557546112705,UNLOCK
1557546113108,SCREEN_ON
1557547440582,SCREEN_OFF
1557551395475,UNLOCK
1557551395849,SCREEN_ON
1557551420360,SCREEN_OFF
1557551669949,UNLOCK
1557551670377,SCREEN_ON
1557551714370,SCREEN_OFF
1557553700871,UNLOCK
1557553701079,SCREEN_ON
1557554393991,SCREEN_OFF
1557555598672,UNLOCK
1557555599418,SCREEN_ON
1557555622900,SCREEN_OFF
1557555625553,UNLOCK
1557555625816,SCREEN_ON
1557555668347,SCREEN_OFF
1557556496174,UNLOCK
1557556496440,SCREEN_ON
1557556567995,SCREEN_OFF
1557556573244,UNLOCK
1557556573389,SCREEN_ON
1557556599530,SCREEN_OFF
1557556820275,SCREEN_ON
1557556833038,SCREEN_OFF
1557556839316,UNLOCK
1557556839547,SCREEN_ON
1557557112535,SCREEN_OFF
1557557126060,UNLOCK
1557557126503,SCREEN_ON
