timestamp,DistanceToday,TotalDistance,MotionType,Pace,Speed
1557544569838,0,2080068,IDLE,0,0
1557544570838,0,2080068,IDLE,0,0
1557544571838,0,2080068,IDLE,0,0
1557544572863,0,2080068,IDLE,0,0
1557544573867,0,2080068,IDLE,0,0
1557544574863,0,2080068,IDLE,0,0
1557544575888,0,2080068,IDLE,0,0
1557544576889,0,2080068,IDLE,0,0
1557544577913,0,2080068,IDLE,0,0
1557544578913,0,2080068,IDLE,0,0
1557544579913,0,2080068,IDLE,0,0
1557544580938,0,2080068,IDLE,0,0
1557544581938,0,2080068,IDLE,0,0
1557544583090,0,2080068,IDLE,0,0
1557544583963,0,2080068,IDLE,0,0
1557544584963,0,2080068,IDLE,0,0
1557544585989,0,2080068,IDLE,0,0
1557544586963,0,2080068,IDLE,0,0
1557544588095,0,2080068,IDLE,0,0
1557544588989,0,2080068,IDLE,0,0
1557544590014,0,2080068,IDLE,0,0
1557544591014,0,2080068,IDLE,0,0
1557544592015,0,2080068,IDLE,0,0
1557544593095,0,2080068,IDLE,0,0
1557544594047,0,2080068,IDLE,0,0
1557544595046,0,2080068,IDLE,0,0
1557544596045,0,2080068,IDLE,0,0
1557544597064,0,2080068,IDLE,0,0
1557544598196,0,2080068,IDLE,0,0
1557544599064,0,2080068,IDLE,0,0
1557544600089,0,2080068,IDLE,0,0
1557544601114,936,2081004,WALKING,2777,36
1557544602126,1092,2081160,WALKING,1587,63
1557544603206,1092,2081160,WALKING,1282,78
1557544604126,1248,2081316,WALKING,1123,89
1557544605139,1404,2081472,WALKING,1020,98
1557544606146,1560,2081628,WALKING,952,105
1557544607165,1716,2081784,WALKING,900,111
1557544608202,1716,2081784,WALKING,900,111
1557544609174,1716,2081784,IDLE,925,108
1557544610189,1872,2081940,WALKING,934,107
1557544611189,2028,2082096,WALKING,934,107
1557544612214,2028,2082096,WALKING,980,102
1557544613295,2028,2082096,IDLE,1010,99
1557544614214,2028,2082096,IDLE,1086,92
1557544615217,2028,2082096,IDLE,1204,83
1557544616239,2028,2082096,IDLE,1408,71
1557544617263,2028,2082096,IDLE,1694,59
1557544618238,2028,2082096,IDLE,2000,50
1557544619264,2028,2082096,IDLE,2272,44
1557544620264,2028,2082096,IDLE,2857,35
1557544621264,2028,2082096,IDLE,0,24
1557544622288,2028,2082096,IDLE,0,16
1557544623288,2028,2082096,IDLE,0,11
1557544624317,2808,2082876,WALKING,2272,44
1557544625314,2808,2082876,WALKING,1562,64
1557544626339,2808,2082876,IDLE,1351,74
1557544627339,2964,2083032,WALKING,1219,82
1557544628339,2964,2083032,WALKING,1190,84
1557544629345,3120,2083188,WALKING,1162,86
1557544630364,3276,2083344,WALKING,1123,89
1557544631379,3432,2083500,WALKING,1086,92
1557544632390,3432,2083500,WALKING,1111,90
1557544633389,3432,2083500,IDLE,1176,85
1557544634414,3432,2083500,IDLE,1282,78
1557544635414,3432,2083500,IDLE,1369,73
1557544636441,3588,2083656,WALKING,1351,74
1557544637414,3744,2083812,WALKING,1351,74
1557544638445,3744,2083812,WALKING,1351,74
1557544639445,3744,2083812,IDLE,1428,70
