timestamp,ssid,bssid,frequency,rssi
1557446403683,c8:3a:35:44:51:28,c8:3a:35:44:51:28,2422,-51
1557446403683,f4:28:53:71:1d:d2,f4:28:53:71:1d:d2,2462,-71
1557446403683,88:36:6c:68:0e:82,88:36:6c:68:0e:82,2452,-76
1557446403683,88:36:6c:7c:17:02,88:36:6c:7c:17:02,2447,-80
1557446403683,12:23:aa:5a:3d:0d,12:23:aa:5a:3d:0d,2462,-93
1557446411692,c8:3a:35:44:51:28,c8:3a:35:44:51:28,2422,-47
1557446411692,f4:28:53:71:1d:d2,f4:28:53:71:1d:d2,2462,-75
1557446411692,00:01:36:26:af:1b,00:01:36:26:af:1b,2437,-90
1557446429773,c8:3a:35:44:51:28,c8:3a:35:44:51:28,2422,-51
1557446483980,c8:3a:35:44:51:28,c8:3a:35:44:51:28,2422,-49
1557446483980,f4:28:53:71:1d:d2,f4:28:53:71:1d:d2,2462,-73
1557446483980,88:36:6c:68:0e:82,88:36:6c:68:0e:82,2452,-78
1557446483980,88:36:6c:7c:17:02,88:36:6c:7c:17:02,2447,-87
1557446483980,00:01:36:26:af:1c,00:01:36:26:af:1c,2437,-93
1557446491988,c8:3a:35:44:51:28,c8:3a:35:44:51:28,2422,-50
1557446491988,f4:28:53:71:1d:d2,f4:28:53:71:1d:d2,2462,-77
1557446491988,88:36:6c:7c:17:02,88:36:6c:7c:17:02,2447,-89
1557446491988,00:01:36:26:af:1b,00:01:36:26:af:1b,2437,-91
1557446503489,c8:3a:35:44:51:28,c8:3a:35:44:51:28,2422,-48
1557446503489,f4:28:53:71:1d:d2,f4:28:53:71:1d:d2,2462,-74
1557446503489,88:36:6c:49:bd:98,88:36:6c:49:bd:98,2412,-78
1557446503489,88:36:6c:68:0e:82,88:36:6c:68:0e:82,2452,-79
1557446503489,88:36:6c:7c:17:02,88:36:6c:7c:17:02,2447,-85
1557446507993,c8:3a:35:44:51:28,c8:3a:35:44:51:28,2422,-50
1557446507993,88:36:6c:49:bd:98,88:36:6c:49:bd:98,2412,-79
1557446507993,88:36:6c:68:0e:82,88:36:6c:68:0e:82,2452,-80
1557446507993,f4:28:53:71:1d:d2,f4:28:53:71:1d:d2,2462,-82
1557446507993,88:36:6c:7c:17:02,88:36:6c:7c:17:02,2447,-87
1557446507993,88:36:6c:81:21:72,88:36:6c:81:21:72,2467,-92
1557446551219,c8:3a:35:44:51:28,c8:3a:35:44:51:28,2422,-51
1557446551219,88:36:6c:68:0e:82,88:36:6c:68:0e:82,2452,-75
1557446551219,f4:28:53:71:1d:d2,f4:28:53:71:1d:d2,2462,-78
1557446551219,88:36:6c:49:bd:98,88:36:6c:49:bd:98,2412,-82
1557446551219,88:36:6c:7c:17:02,88:36:6c:7c:17:02,2447,-85
1557446551219,00:01:36:26:af:1b,00:01:36:26:af:1b,2437,-92
1557446610204,c8:3a:35:44:51:28,c8:3a:35:44:51:28,2422,-60
1557446610204,f4:28:53:71:1d:d2,f4:28:53:71:1d:d2,2462,-82
1557446610204,88:36:6c:68:0e:82,88:36:6c:68:0e:82,2452,-82
1557446610204,88:36:6c:49:bd:98,88:36:6c:49:bd:98,2412,-86
1557446610204,88:36:6c:7c:17:02,88:36:6c:7c:17:02,2447,-87
1557446630410,c8:3a:35:44:51:28,c8:3a:35:44:51:28,2422,-62
1557446630410,f4:28:53:71:1d:d2,f4:28:53:71:1d:d2,2462,-82
1557446630410,88:36:6c:7c:17:02,88:36:6c:7c:17:02,2447,-85
1557446630410,88:36:6c:49:bd:98,88:36:6c:49:bd:98,2412,-87
1557446643697,c8:3a:35:44:51:28,c8:3a:35:44:51:28,2422,-64
1557446773888,c8:3a:35:44:51:28,c8:3a:35:44:51:28,2422,-65
1557446773888,88:36:6c:49:bd:98,88:36:6c:49:bd:98,2412,-84
1557446773888,f4:28:53:71:1d:d2,f4:28:53:71:1d:d2,2462,-84
1557446915750,c8:3a:35:44:51:28,c8:3a:35:44:51:28,2422,-60
