timestamp,mimetype,bucketDisplay
1557273923151,image/jpeg,Screenshots
1557274507751,image/jpeg,Camera
1557275466850,image/jpeg,Screenshots
1557276523712,image/jpeg,Screenshots
1557285061341,image/jpeg,Camera
1557285077069,image/jpeg,Camera
1557285107000,image/jpeg,SNOW
1557285188000,image/jpeg,SNOW
1557285203231,image/jpeg,Camera
1557285300000,image/jpeg,SNOW
1557285306000,image/jpeg,SNOW
1557285394000,image/jpeg,SNOW
1557285398000,image/jpeg,SNOW
1557285662000,image/jpeg,SNOW
1557285663000,image/jpeg,SNOW
1557285666000,image/jpeg,SNOW
1557293513000,image/jpeg,SNOW
1557298740106,image/jpeg,Screenshots
