timestamp,confidence,type
1557536636107,1.0,STILL
1557541448778,1.0,TILTING
1557546247900,0.35,STILL
1557546247900,0.25,ON_FOOT
1557546247900,0.25,WALKING
1557546247900,0.15,IN_VEHICLE
1557546247900,0.09,ON_BICYCLE
1557546247900,0.02,UNKNOWN
1557546247900,0.01,RUNNING
1557546276086,0.39,STILL
1557546276086,0.25,ON_FOOT
1557546276086,0.25,WALKING
1557546276086,0.13,IN_VEHICLE
1557546276086,0.07,ON_BICYCLE
1557546276086,0.02,UNKNOWN
1557546276086,0.01,RUNNING
1557546300680,0.96,STILL
1557546300680,0.02,UNKNOWN
1557546300680,0.01,IN_VEHICLE
1557546916541,1.0,STILL
1557546938139,1.0,STILL
1557547302633,1.0,TILTING
1557548299647,1.0,STILL
1557548760575,1.0,STILL
1557548576178,1.0,TILTING
1557548837961,0.4,UNKNOWN
1557548837961,0.1,IN_VEHICLE
1557548837961,0.1,ON_BICYCLE
1557548837961,0.1,ON_FOOT
1557548837961,0.1,WALKING
1557548837961,0.1,RUNNING
1557548837961,0.1,STILL
1557548866384,0.4,UNKNOWN
1557548866384,0.1,IN_VEHICLE
1557548866384,0.1,ON_BICYCLE
1557548866384,0.1,ON_FOOT
1557548866384,0.1,WALKING
1557548866384,0.1,RUNNING
1557548866384,0.1,STILL
1557548899623,0.4,UNKNOWN
1557548899623,0.1,IN_VEHICLE
1557548899623,0.1,ON_BICYCLE
1557548899623,0.1,ON_FOOT
1557548899623,0.1,WALKING
1557548899623,0.1,RUNNING
1557548899623,0.1,STILL
1557548907241,1.0,TILTING
1557548914859,0.4,UNKNOWN
1557548914859,0.1,IN_VEHICLE
1557548914859,0.1,ON_BICYCLE
1557548914859,0.1,ON_FOOT
1557548914859,0.1,WALKING
1557548914859,0.1,RUNNING
1557548914859,0.1,STILL
1557548930218,0.82,ON_FOOT
1557548930218,0.82,WALKING
1557548930218,0.07,RUNNING
1557548930218,0.04,ON_BICYCLE
1557548930218,0.03,STILL
1557548930218,0.02,IN_VEHICLE
1557548930218,0.01,UNKNOWN
1557548945996,0.86,ON_FOOT
1557548945996,0.86,WALKING
1557548945996,0.04,RUNNING
1557548945996,0.03,ON_BICYCLE
1557548945996,0.03,STILL
1557548945996,0.02,IN_VEHICLE
1557548945996,0.01,UNKNOWN
1557548953543,1.0,TILTING
1557548961089,0.4,UNKNOWN
1557548961089,0.1,IN_VEHICLE
1557548961089,0.1,ON_BICYCLE
1557548961089,0.1,ON_FOOT
1557548961089,0.1,WALKING
1557548961089,0.1,RUNNING
1557548961089,0.1,STILL
1557548968832,1.0,TILTING
1557548976575,0.4,UNKNOWN
1557548976575,0.1,IN_VEHICLE
1557548976575,0.1,ON_BICYCLE
1557548976575,0.1,ON_FOOT
1557548976575,0.1,WALKING
1557548976575,0.1,RUNNING
1557548976575,0.1,STILL
1557548984882,1.0,TILTING
1557548993188,0.4,UNKNOWN
1557548993188,0.1,IN_VEHICLE
1557548993188,0.1,ON_BICYCLE
1557548993188,0.1,ON_FOOT
1557548993188,0.1,WALKING
1557548993188,0.1,RUNNING
1557548993188,0.1,STILL
1557549000909,1.0,TILTING
1557549008630,0.43,STILL
1557549008630,0.41,ON_FOOT
1557549008630,0.41,WALKING
1557549008630,0.08,ON_BICYCLE
1557549008630,0.03,IN_VEHICLE
1557549008630,0.02,UNKNOWN
1557549008630,0.01,RUNNING
1557549020063,0.4,UNKNOWN
1557549020063,0.1,IN_VEHICLE
1557549020063,0.1,ON_BICYCLE
1557549020063,0.1,ON_FOOT
1557549020063,0.1,WALKING
