timestamp,transitionType
1556844682169,EXIT_STILL
1556844682169,ENTER_WALKING
1556844938556,EXIT_WALKING
1556844938556,ENTER_STILL
1556844969488,EXIT_STILL
1556844969488,ENTER_IN_VEHICLE
1556845080295,EXIT_IN_VEHICLE
1556845080295,ENTER_WALKING
1556845303567,EXIT_WALKING
1556845303567,ENTER_STILL
1556847214717,EXIT_STILL
1556847214717,ENTER_WALKING
1556847937877,EXIT_WALKING
1556847937877,ENTER_STILL
1556849103121,EXIT_STILL
1556849103121,ENTER_WALKING
1556849332198,EXIT_WALKING
1556849332198,ENTER_STILL
1556867874754,EXIT_STILL
1556867874754,ENTER_WALKING
1556867942057,EXIT_WALKING
1556867942057,ENTER_STILL
1556867977511,EXIT_STILL
1556867977511,ENTER_WALKING
1556868671825,EXIT_WALKING
1556868671825,ENTER_STILL
1556868876159,EXIT_STILL
1556868876159,ENTER_WALKING
1556869160243,EXIT_WALKING
1556869160243,ENTER_STILL
1556881530943,EXIT_STILL
1556881530943,ENTER_WALKING
1556881672759,EXIT_WALKING
1556881672759,ENTER_STILL
1556881788341,EXIT_STILL
1556881788341,ENTER_WALKING
1556882226678,EXIT_WALKING
1556882226678,ENTER_RUNNING
1556882303971,EXIT_RUNNING
1556882303971,ENTER_WALKING
1556882749594,EXIT_WALKING
1556882749594,ENTER_STILL
1556883005937,EXIT_STILL
1556883005937,ENTER_WALKING
1556883073352,EXIT_WALKING
1556883073352,ENTER_STILL
1556883340563,EXIT_STILL
1556883340563,ENTER_IN_VEHICLE
1556883915372,EXIT_IN_VEHICLE
1556883915372,ENTER_WALKING
1556884680447,EXIT_WALKING
1556884680447,ENTER_IN_VEHICLE
1556885449559,EXIT_IN_VEHICLE
1556885449559,ENTER_WALKING
1556885963816,EXIT_WALKING
1556885963816,ENTER_STILL
1556885983845,EXIT_STILL
1556885983845,ENTER_WALKING
1556886166828,EXIT_WALKING
1556886166828,ENTER_STILL
1556886288142,EXIT_STILL
1556886288142,ENTER_WALKING
1556886454630,EXIT_WALKING
1556886454630,ENTER_STILL
1556887116553,EXIT_STILL
1556887116553,ENTER_WALKING
1556887238393,EXIT_WALKING
1556887238393,ENTER_STILL
1556887373597,EXIT_STILL
1556887373597,ENTER_IN_VEHICLE
1556887616688,EXIT_IN_VEHICLE
1556887616688,ENTER_WALKING
1556887791748,EXIT_WALKING
1556887791748,ENTER_IN_VEHICLE
1556892368906,EXIT_IN_VEHICLE
1556892368906,ENTER_WALKING
1556892805236,EXIT_WALKING
1556892805236,ENTER_IN_VEHICLE
1556894504768,EXIT_IN_VEHICLE
1556894504768,ENTER_WALKING
1556894716889,EXIT_WALKING
1556894716889,ENTER_STILL
