UID,개방성 (Openness),성실성 (Conscientiousness),신경증 (Neuroticism),외향성 (Extraversion),친화성 (Agreeableness),Age,Gender,total_movement_time,total_usage_time,movement_fraction,usage_fraction
3001,12,11,6,10,11,21,M,,,,
3002,15,10,10,9,10,21,F,,,,
3003,13,8,10,7,6,24,F,,,,
3005,9,13,7,8,12,23,M,,,,
3007,10,14,13,7,13,21,F,,,,
3008,12,10,11,12,7,22,M,,,,
3009,15,10,4,6,13,21,M,,,,
3010,10,11,6,11,13,22,M,,,,
3011,15,15,9,11,7,22,M,,,,
3012,14,11,6,6,11,21,M,,,,
3013,12,11,12,13,9,27,F,,,,
3015,8,10,8,8,10,20,M,,,,
3016,12,9,5,12,9,23,M,,,,
3017,13,12,8,15,10,19,M,,,,
3018,3,6,10,9,7,20,M,,,,
3019,12,10,8,8,7,40,M,,,,
3021,10,13,7,13,14,24,F,,,,
3022,4,9,12,12,7,19,M,,,,
3023,10,13,12,13,6,20,M,,,,
3024,12,15,11,8,8,23,F,,,,
3025,12,12,4,5,7,32,M,,,,
3027,8,8,12,6,8,20,M,,,,
3028,11,12,7,11,10,19,M,,,,
3029,12,11,9,12,10,19,M,,,,
3030,9,10,7,12,11,25,M,,,,
3041,13,7,5,4,12,27,M,,,,
701,11,11,3,4,13,28,M,45379.53600000001,538902.09,0.0785387923235026,0.9326829461017735
702,14,5,12,14,5,23,M,,,,
703,10,15,8,7,11,26,F,48734.648,471680.3130000001,0.08172566407298096,0.7909852310839819
704,12,11,8,6,11,25,M,15226.7,430733.216,0.0273091771181612,0.7725225877188876
705,10,11,13,10,6,28,F,,,,
707,9,10,7,8,10,21,F,45135.077999999994,420397.011,0.08032926073257712,0.7482025644846587
708,10,8,9,9,12,22,F,124106.28600000001,194640.54799999995,0.2200756895414337,0.34515296681928354
709,12,12,4,11,9,21,F,88634.997,301306.85800000007,0.1561234180047954,0.5307277952437404
710,6,7,9,9,11,27,M,45242.55200000001,390445.267,0.0801047413460757,0.6913075354996433
711,10,13,4,8,13,21,F,48654.656,488442.489,0.08986867794639375,0.9021886978149833
712,9,12,7,7,12,21,M,9998.417,424870.998,0.017607850002364936,0.748224924319429
713,5,12,3,12,13,30,M,3945.397,466954.399,0.006524297093518188,0.7721781174876019
714,12,13,7,9,14,20,M,27608.494000000002,376676.453,0.04803865398503695,0.6554153149381502
715,6,12,5,6,11,21,M,,,,
716,14,8,6,4,13,25,M,,,,
717,15,13,8,14,12,20,M,48530.518,333394.441,0.08085164336949681,0.5554337673689109
718,13,12,7,13,12,22,F,16802.838999999996,441658.338,0.029560947394462696,0.7770019635338902
719,12,13,3,9,10,20,M,143052.16599999997,394088.87399999995,0.24719472920180785,0.6809871895954053
721,11,13,8,7,13,26,M,29334.064,433057.8,0.05189193727006945,0.7660789242129656
722,12,5,8,8,8,26,F,,,,
723,12,10,10,13,13,20,F,10275.236,322901.19,0.018058207783532336,0.5674825164667607
724,13,12,6,9,14,24,F,,,,
725,15,11,5,14,15,23,M,19336.79,352679.835,0.03428181838582839,0.6252592106452995
726,10,8,9,12,9,24,M,39652.513999999996,193924.59,0.13085593077479665,0.6399640316518349
727,13,8,6,11,10,20,M,32345.785000000003,365455.163,0.057201359084747834,0.6462830321829582
728,10,9,3,11,14,22,M,,,,
729,6,9,8,7,11,22,M,32231.534999999996,427797.83499999996,0.0572988544223667,0.7605075547865979
1501,6,14,10,8,10,24,M,11112.761999999999,370473.847,0.019137212276708997,0.6379905061413186
1502,7,9,14,9,14,23,M,124087.28899999999,333344.65,0.20577476503570466,0.5527876189611913
1503,9,10,9,9,10,21,M,111583.111,381983.96499999997,0.18560855200479046,0.6353962530467406
1504,9,14,10,7,12,27,M,79287.927,504933.25800000003,0.13934256868497621,0.8873822263532483
1505,8,14,6,13,5,20,F,,,,
1506,9,10,13,9,15,25,F,20162.818,401526.936,0.03348802972917497,0.6668882281153625
1507,6,12,13,3,8,25,F,,,,
1509,11,12,12,7,9,22,M,,,,
1511,12,11,7,8,7,20,F,,,,
1514,7,12,6,7,11,29,M,,,,
1515,7,11,5,14,10,21,F,,,,
1516,7,10,9,13,10,24,M,,,,
1517,10,13,8,8,15,21,F,,,,
1518,12,9,9,12,11,24,M,,,,
1519,11,9,6,10,6,30,F,,,,
1521,8,12,11,7,12,22,M,,,,
1522,11,11,10,8,11,31,M,,,,
1523,11,11,9,10,8,23,M,,,,
1525,8,12,5,9,11,19,M,,,,
1526,6,9,9,4,13,25,M,,,,
1527,13,10,6,10,13,21,M,,,,
1541,13,7,5,4,12,27,M,,,,
